pincode,city,canton,canton_code,country,country_code,longitude,latitude
75427 CEDEX 09,Paris 09,Paris,,France,FR,2.3399,48.8718
75428 CEDEX 09,Paris 09,Paris,,France,FR,2.3399,48.8718
75429 CEDEX 09,Paris 09,Paris,,France,FR,2.3399,48.8718
75430 CEDEX 09,Paris 09,Paris,,France,FR,2.3399,48.8718
75431 CEDEX 09,Paris 09,Paris,,France,FR,2.3399,48.8718
75432 CEDEX 09,Paris 09,Paris,,France,FR,2.3399,48.8718
75434 CEDEX 09,Paris 09,Paris,,France,FR,2.3399,48.8718
75435 CEDEX 09,Paris 09,Paris,,France,FR,2.3399,48.8718
75436 CEDEX 09,Paris 09,Paris,,France,FR,2.3399,48.8718
75437 CEDEX 09,Paris 09,Paris,,France,FR,2.3399,48.8718
75438 CEDEX 09,Paris 09,Paris,,France,FR,2.3399,48.8718
75439 CEDEX 09,Paris 09,Paris,,France,FR,2.3399,48.8718
75440 CEDEX 09,Paris 09,Paris,,France,FR,2.3399,48.8718
75441 CEDEX 09,Paris 09,Paris,,France,FR,2.3399,48.8718
75442 CEDEX 09,Paris 09,Paris,,France,FR,2.3399,48.8718
75443 CEDEX 09,Paris 09,Paris,,France,FR,2.3399,48.8718
75444 CEDEX 09,Paris 09,Paris,,France,FR,2.3399,48.8718
75445 CEDEX 09,Paris 09,Paris,,France,FR,2.3399,48.8718
75446 CEDEX 09,Paris 09,Paris,,France,FR,2.3399,48.8718
